song,artist,year,popularity,distance,BPM,Dance,Energy,Valence,Acoustic,Loud (Db)
Laffy Taffy,D4L,2005,69,1.235,77,89,44,62,4,-8
It's Goin' Down (feat. Nitti),"Yung Joc,NITTI",2006,70,1.186,84,89,58,61,10,-8
Magic Stick,Lil' Kim,2003,63,1.208,93,85,50,50,12,-8
Still D.R.E.,"Dr. Dre,Snoop Dogg",1999,84,1.176,93,82,78,53,16,-3
The Next Episode,"Dr. Dre,Snoop Dogg",1999,81,1.256,95,92,91,31,3,-2
Fish Paste,Die Antwoord,2010,38,0.556,95,87,49,62,9,-6
It Wasn't Me,"Shaggy,Rik Rok",2000,82,0.963,95,85,61,65,6,-5
Thrift Shop (feat. Wanz),"Macklemore & Ryan Lewis,Macklemore,Ryan Lewis,Wanz",2012,67,1.106,95,78,53,67,6,-7
Can't C Me,2Pac,1996,70,0.0,95,80,85,67,4,-2
Love Like,Kehlani,2024,40,1.385,97,78,75,62,2,-5
Case Of The Ex (Whatcha Gonna Do),Mýa,2000,62,0.947,98,77,68,35,7,-5
I Don't Fuck With You,"Big Sean,E-40",2015,76,0.764,98,82,73,40,4,-5
Like That,Memphis Bleek,2005,48,1.067,98,91,91,58,6,-3
You're a Jerk,New Boyz,2009,53,0.953,99,93,46,52,15,-6
Headsprung,LL COOL J,2004,60,0.823,100,72,79,47,1,-6
Jump,"Tyla,Gunna,Skillibeng",2024,62,1.001,100,79,72,63,3,-3
Work It,Missy Elliott,2002,73,1.23,102,88,68,58,8,-6
Dance With Me,112,2001,66,0.0,102,91,51,61,3,-6
Tambourine,Eve,2007,69,1.465,103,82,85,57,24,-4
Bootylicious,Destiny's Child,2001,63,0.921,103,84,84,64,0,-4
Butterfly,Crazy Town,2000,79,1.046,104,74,81,61,0,-4
How Many Licks? (feat. Sisqo),"Lil' Kim,Sisqo",2000,57,0.539,105,78,85,65,5,-3
The Real Slim Shady,Eminem,2000,86,1.755,105,95,66,76,3,-4
AM To PM,Christina Milian,2001,57,1.213,105,87,87,82,15,-3
Come Baby Come,K7,1993,64,0.896,106,83,73,55,3,-8
N.Y.C.,"Kevin Rudolf,Nas",2008,26,1.473,106,72,91,89,2,-4
"Basketball (feat. Jermaine Dupri, Fabolous & Fundisha)","Bow Wow,Jermaine Dupri,Fabolous,Fundisha",2002,51,1.424,108,88,78,74,6,-5
HEATED,Beyoncé,2022,67,0.0,111,79,73,50,6,-6
Lil Boo Thang,Paul Russell,2023,78,1.807,114,85,70,92,15,-3
CUFF IT,Beyoncé,2022,74,0.694,115,78,69,64,4,-6
Snap My Finger (feat. PinkPantheress),"KAYTRANADA,PinkPantheress",2024,68,1.06,118,77,64,50,2,-8
Elevator (feat. Timbaland),"Flo Rida,Timbaland",2008,55,1.068,120,81,87,47,11,-6
Get Up (feat. Chamillionaire),"Ciara,Chamillionaire",2006,66,1.203,129,96,60,63,2,-7
Forgot About Dre,"Dr. Dre,Eminem",1999,80,0.0,134,92,74,62,8,-1
Snap Backs & Tattoos,Driicky Graham,2012,43,1.378,140,86,69,54,12,-4
Kiss Kiss (feat. T-Pain),"Chris Brown,T-Pain",2007,77,1.728,140,73,66,55,5,-3
Walk It Out,Unk,2006,63,1.795,160,79,78,71,10,-4
